id,title,body,category,priority
124,Discrepanza bilancio,Mancano i documenti fiscali per la pratica PA-2024-123.,Amministrativo,Media
138,Verifica tassa,Ho pagato due volte la fattura FT2024002. Necessario rimborso.,Amministrativo,Alta
156,Modifica dati anagrafi,La fattura FT2024001 non risulta pagata in tesoreria. Controllare il versamento.,Amministrativo,Alta
24,Server non raggiungibile,L'applicazione si chiude inaspettatamente quando accedo al modulo reporting.,Tecnico,Bassa
144,Discrepanza bilancio,Verificare il calcolo IVA sulla fattura passiva FT-PASS-789.,Amministrativo,Alta
205,Richiesta preventivo,"Sono cliente di lunga data, potete fare uno sconto su questo ordine?",Commerciale,Media
292,Sconto cliente,Registrazione nuovo cliente per primo ordine di prova.,Commerciale,Media
248,Problema consegna,Quali sono le caratteristiche tecniche del prodotto PRD-456?,Commerciale,Media
79,Timeout API,Problema certificato SSL scaduto,Tecnico,Media
257,Problema consegna,Proposizione collaborazione per distribuzione esclusiva.,Commerciale,Media
195,Verifica tassa,Richiedo rimborso per l'ordine ORD-2024-456 già annullato.,Amministrativo,Alta
86,Problema connessione,Il server è irraggiungibile da questa mattina. Non riesco a connettermi.,Tecnico,Alta
287,Informazioni catalogo,Mi serve un preventivo urgente per 100 licenze software. Timeline: entro venerdì.,Commerciale,Alta
293,Informazioni prodotto,Quali sono le caratteristiche tecniche del prodotto PRD-456?,Commerciale,Bassa
68,Problema connessione,La sincronizzazione con il database è fallita alle 14:30.,Tecnico,Media
190,Documento fiscale mancante,Segnalazione discrepanza nel bilancio trimestrale Q1 2024.,Amministrativo,Media
19,Timeout API,Ricevo errore 500 quando trato di salvare il documento.,Tecnico,Alta
56,Timeout API,"La velocità di caricamento è molto lenta, circa 5 minuti per query semplici.",Tecnico,Bassa
185,Richiesta note credito,Richiedo nota credito per reso merce non conforme.,Amministrativo,Bassa
33,Server non raggiungibile,Ricevo errore 500 quando trato di salvare il documento.,Tecnico,Alta
128,Rimborso richiesto,La fattura FT2024001 non risulta pagata in tesoreria. Controllare il versamento.,Amministrativo,Alta
282,Problema consegna,Mi interessa sapere se avete un catalogo completo in PDF.,Commerciale,Media
59,Bug interfaccia,Ricevo errore 500 quando trato di salvare il documento.,Tecnico,Alta
25,Errore autenticazione,Il server è irraggiungibile da questa mattina. Non riesco a connettermi.,Tecnico,Alta
231,Informazioni catalogo,Mi interessa sapere se avete un catalogo completo in PDF.,Commerciale,Bassa
265,Partnership proposta,Mi serve un preventivo urgente per 100 licenze software. Timeline: entro venerdì.,Commerciale,Alta
17,Problema connessione,Il server è irraggiungibile da questa mattina. Non riesco a connettermi.,Tecnico,Alta
165,Rimborso richiesto,Mancano i documenti fiscali per la pratica PA-2024-123.,Amministrativo,Alta
285,Informazioni catalogo,Registrazione nuovo cliente per primo ordine di prova.,Commerciale,Media
201,Ordine urgente,Vorrei conoscere i termini di sconto per acquisti bulk.,Commerciale,Alta
72,Problema connessione,Il server è irraggiungibile da questa mattina. Non riesco a connettermi.,Tecnico,Alta
149,Documento fiscale mancante,Mancano i documenti fiscali per la pratica PA-2024-123.,Amministrativo,Bassa
46,Errore autenticazione,Ricevo errore 500 quando trato di salvare il documento.,Tecnico,Alta
130,Modifica dati anagrafi,Dati fornitore inesatti nel sistema.,Amministrativo,Media
74,Bug interfaccia,"L'interfaccia non risponde ai click, blocco totale.",Tecnico,Bassa
61,Applicazione crash,Il server è irraggiungibile da questa mattina. Non riesco a connettermi.,Tecnico,Alta
92,Sincronizzazione fallita,Il backup di questa notte non è stato completato.,Tecnico,Bassa
51,Bug interfaccia,La sincronizzazione con il database è fallita alle 14:30.,Tecnico,Bassa
251,Nuovo cliente registrazione,"Sono cliente di lunga data, potete fare uno sconto su questo ordine?",Commerciale,Media
27,Bug interfaccia,Ricevo errore 500 quando trato di salvare il documento.,Tecnico,Alta
164,Fattura non pagata,Segnalazione discrepanza nel bilancio trimestrale Q1 2024.,Amministrativo,Alta
98,Problema connessione,"Password non accettata, errore autenticazione",Tecnico,Alta
244,Ordine urgente,Ho ricevuto l'ordine ORD-2024-789 ma la quantità è sbagliata.,Commerciale,Alta
